DateOfDeparture,Departure,Fog-d,Rain-d,Hail-d,Thunder-d,Snow-d
2011-12-20,ATL,0,1,0,0,0
2011-12-21,ATL,1,1,0,1,0
2011-12-22,ATL,1,1,0,1,0
2011-12-23,ATL,0,0,0,0,0
2011-12-24,ATL,0,0,0,0,0
2011-12-25,ATL,0,1,0,0,0
2011-12-26,ATL,0,1,0,0,0
2011-12-27,ATL,0,1,0,0,0
2011-12-28,ATL,0,0,0,0,0
2011-12-29,ATL,0,0,0,0,0
2011-12-30,ATL,0,0,0,0,0
2011-12-31,ATL,0,0,0,0,0
2011-09-01,ORD,0,0,0,0,0
2011-09-02,ORD,0,0,0,0,0
2011-09-03,ORD,0,1,0,1,0
2011-09-04,ORD,0,0,0,0,0
2011-09-05,ORD,0,0,0,0,0
2011-09-06,ORD,0,0,0,0,0
2011-09-07,ORD,0,0,0,0,0
2011-09-08,ORD,0,1,0,0,0
2011-09-09,ORD,0,1,0,0,0
2011-09-10,ORD,0,0,0,0,0
2011-09-11,ORD,0,0,0,0,0
2011-09-12,ORD,0,0,0,0,0
2011-09-13,ORD,0,0,0,0,0
2011-09-14,ORD,0,1,0,0,0
2011-09-15,ORD,0,0,0,0,0
2011-09-16,ORD,0,0,0,0,0
2011-09-17,ORD,0,0,0,0,0
2011-09-18,ORD,0,1,0,0,0
2011-09-19,ORD,0,1,0,0,0
2011-09-20,ORD,1,0,0,0,0
2011-09-21,ORD,0,1,0,0,0
2011-09-22,ORD,0,0,0,0,0
2011-09-23,ORD,0,0,0,0,0
2011-09-24,ORD,0,1,0,0,0
2011-09-25,ORD,0,1,0,0,0
2011-09-26,ORD,0,1,0,0,0
2011-09-27,ORD,0,1,0,0,0
2011-09-28,ORD,0,1,0,0,0
2011-09-29,ORD,0,1,0,0,0
2011-09-30,ORD,0,1,0,0,0
2011-10-01,ORD,0,0,0,0,0
2011-10-02,ORD,0,0,0,0,0
2011-10-03,ORD,0,0,0,0,0
2011-10-04,ORD,0,0,0,0,0
2011-10-05,ORD,0,0,0,0,0
2011-10-06,ORD,0,0,0,0,0
2011-10-07,ORD,0,0,0,0,0
2011-10-08,ORD,0,0,0,0,0
2011-10-09,ORD,0,0,0,0,0
2011-10-10,ORD,0,0,0,0,0
2011-10-11,ORD,0,0,0,0,0
2011-10-12,ORD,0,0,0,0,0
2011-10-13,ORD,0,1,0,0,0
2011-10-14,ORD,0,0,0,0,0
2011-10-15,ORD,0,0,0,0,0
2011-10-16,ORD,0,1,0,0,0
2011-10-17,ORD,0,0,0,0,0
2011-10-18,ORD,0,1,0,0,0
2011-10-19,ORD,0,1,0,0,0
2011-10-20,ORD,0,1,0,0,0
2011-10-21,ORD,0,0,0,0,0
2011-10-22,ORD,0,0,0,0,0
2011-10-23,ORD,0,1,0,1,0
2011-10-24,ORD,0,1,0,0,0
2011-10-25,ORD,0,1,0,1,0
2011-10-26,ORD,0,0,0,0,0
2011-10-27,ORD,0,1,0,0,0
2011-10-28,ORD,0,0,0,0,0
2011-10-29,ORD,0,0,0,0,0
2011-10-30,ORD,0,1,0,0,0
2011-10-31,ORD,0,0,0,0,0
2011-11-01,ORD,0,0,0,0,0
2011-11-02,ORD,0,1,0,0,0
2011-11-03,ORD,0,1,0,0,0
2011-11-04,ORD,0,0,0,0,0
2011-11-05,ORD,0,0,0,0,0
2011-11-06,ORD,0,0,0,0,0
2011-11-07,ORD,0,1,0,0,0
2011-11-08,ORD,0,1,0,0,0
2011-11-09,ORD,0,1,0,0,0
2011-11-10,ORD,0,1,0,0,1
2011-11-11,ORD,0,0,0,0,0
2011-11-12,ORD,0,0,0,0,0
2011-11-13,ORD,0,0,0,0,0
2011-11-14,ORD,0,0,0,0,0
2011-11-15,ORD,0,0,0,0,0
2011-11-16,ORD,0,0,0,0,0
2011-11-17,ORD,0,0,0,0,0
2011-11-18,ORD,0,0,0,0,0
2011-11-19,ORD,0,1,0,0,0
2011-11-20,ORD,0,0,0,0,0
2011-11-21,ORD,0,0,0,0,0
2011-11-22,ORD,0,1,0,0,0
2011-11-23,ORD,1,0,0,0,0
2011-11-24,ORD,0,0,0,0,0
2011-11-25,ORD,0,0,0,0,0
2011-11-26,ORD,0,1,0,0,0
2011-11-27,ORD,0,1,0,0,0
2011-11-28,ORD,0,0,0,0,1
2011-11-29,ORD,0,0,0,0,0
2011-11-30,ORD,0,0,0,0,0
2011-12-01,ORD,0,1,0,0,1
2011-12-02,ORD,0,0,0,0,1
2011-12-03,ORD,0,1,0,0,0
2011-12-04,ORD,0,1,0,0,0
2011-12-05,ORD,0,1,0,0,1
2011-12-06,ORD,0,0,0,0,1
2011-12-07,ORD,0,0,0,0,0
2011-12-08,ORD,0,0,0,0,0
2011-12-09,ORD,0,0,0,0,1
2011-12-10,ORD,0,0,0,0,0
2011-12-11,ORD,0,0,0,0,0
2011-12-12,ORD,0,0,0,0,0
2011-12-13,ORD,0,1,0,0,0
2011-12-14,ORD,0,1,0,0,0
2011-12-15,ORD,0,1,0,0,0
2011-12-16,ORD,0,0,0,0,0
2011-12-17,ORD,0,0,0,0,1
2011-12-18,ORD,1,0,0,0,0
2011-12-19,ORD,0,0,0,0,0
2011-12-20,ORD,0,1,0,0,0
2011-12-21,ORD,1,1,0,0,0
2011-12-22,ORD,0,1,0,0,1
2011-12-23,ORD,0,0,0,0,0
2011-12-24,ORD,0,0,0,0,0
2011-12-25,ORD,0,0,0,0,0
2011-12-26,ORD,0,1,0,0,0
2011-12-27,ORD,0,1,0,0,0
2011-12-28,ORD,0,0,0,0,0
2011-12-29,ORD,0,1,0,0,0
2011-12-30,ORD,0,1,0,0,0
2011-12-31,ORD,0,0,0,0,0
2011-09-01,LAX,1,0,0,0,0
2011-09-02,LAX,1,0,0,0,0
2011-09-03,LAX,1,0,0,0,0
2011-09-04,LAX,1,0,0,0,0
2011-09-05,LAX,0,1,0,0,0
2011-09-06,LAX,1,0,0,0,0
2011-09-07,LAX,0,0,0,0,0
2011-09-08,LAX,1,0,0,0,0
2011-09-09,LAX,0,0,0,0,0
2011-09-10,LAX,0,0,0,0,0
2011-09-11,LAX,0,0,0,0,0
2011-09-12,LAX,0,0,0,0,0
2011-09-13,LAX,1,0,0,0,0
2011-09-14,LAX,0,0,0,0,0
2011-09-15,LAX,1,0,0,0,0
2011-09-16,LAX,0,0,0,0,0
2011-09-17,LAX,0,0,0,0,0
2011-09-18,LAX,0,0,0,0,0
2011-09-19,LAX,1,0,0,0,0
2011-09-20,LAX,1,0,0,0,0
2011-09-21,LAX,0,0,0,0,0
2011-09-22,LAX,1,0,0,0,0
2011-09-23,LAX,1,0,0,0,0
2011-09-24,LAX,0,0,0,0,0
2011-09-25,LAX,0,0,0,0,0
2011-09-26,LAX,0,0,0,0,0
2011-09-27,LAX,1,0,0,0,0
2011-09-28,LAX,1,0,0,0,0
2011-09-29,LAX,1,0,0,0,0
2011-09-30,LAX,0,1,0,0,0
2011-10-01,LAX,0,0,0,0,0
2011-10-02,LAX,0,0,0,0,0
2011-10-03,LAX,0,0,0,0,0
2011-10-04,LAX,0,1,0,0,0
2011-10-05,LAX,0,1,0,0,0
2011-10-06,LAX,0,0,0,0,0
2011-10-07,LAX,0,0,0,0,0
2011-10-08,LAX,0,0,0,0,0
2011-10-09,LAX,0,0,0,0,0
2011-10-10,LAX,1,0,0,0,0
2011-10-11,LAX,1,0,0,0,0
2011-10-12,LAX,0,0,0,0,0
2011-10-13,LAX,0,0,0,0,0
2011-10-14,LAX,1,0,0,0,0
2011-10-15,LAX,0,0,0,0,0
2011-10-16,LAX,0,0,0,0,0
2011-10-17,LAX,1,0,0,0,0
2011-10-18,LAX,1,0,0,0,0
2011-10-19,LAX,1,0,0,0,0
2011-10-20,LAX,1,0,0,0,0
2011-10-21,LAX,1,0,0,0,0
2011-10-22,LAX,1,0,0,0,0
2011-10-23,LAX,1,0,0,0,0
2011-10-24,LAX,0,0,0,0,0
2011-10-25,LAX,0,0,0,0,0
2011-10-26,LAX,0,0,0,0,0
2011-10-27,LAX,0,0,0,0,0
2011-10-28,LAX,0,0,0,0,0
2011-10-29,LAX,0,0,0,0,0
2011-10-30,LAX,0,0,0,0,0
2011-10-31,LAX,1,0,0,0,0
2011-11-01,LAX,1,0,0,0,0
2011-11-02,LAX,1,0,0,0,0
2011-11-03,LAX,0,0,0,0,0
2011-11-04,LAX,0,1,0,0,0
2011-11-05,LAX,0,0,0,0,0
2011-11-06,LAX,0,1,0,0,0
2011-11-07,LAX,0,0,0,0,0
2011-11-08,LAX,0,0,0,0,0
2011-11-09,LAX,0,0,0,0,0
2011-11-10,LAX,0,0,0,0,0
2011-11-11,LAX,0,1,0,0,0
2011-11-12,LAX,0,1,0,0,0
2011-11-13,LAX,0,0,0,0,0
2011-11-14,LAX,0,0,0,0,0
2011-11-15,LAX,0,0,0,0,0
2011-11-16,LAX,1,0,0,0,0
2011-11-17,LAX,1,0,0,0,0
2011-11-18,LAX,0,0,0,0,0
2011-11-19,LAX,0,1,0,0,0
2011-11-20,LAX,0,1,0,0,0
2011-11-21,LAX,1,0,0,0,0
2011-11-22,LAX,0,0,0,0,0
2011-11-23,LAX,1,0,0,0,0
2011-11-24,LAX,0,0,0,0,0
2011-11-25,LAX,0,0,0,0,0
2011-11-26,LAX,0,0,0,0,0
2011-11-27,LAX,0,0,0,0,0
2011-11-28,LAX,0,0,0,0,0
2011-11-29,LAX,1,0,0,0,0
2011-11-30,LAX,1,0,0,0,0
2011-12-01,LAX,0,0,0,0,0
2011-12-02,LAX,0,0,0,0,0
2011-12-03,LAX,0,0,0,0,0
2011-12-04,LAX,0,0,0,0,0
2011-12-05,LAX,0,0,0,0,0
2011-12-06,LAX,0,0,0,0,0
2011-12-07,LAX,0,0,0,0,0
2011-12-08,LAX,0,0,0,0,0
2011-12-09,LAX,1,0,0,0,0
2011-12-10,LAX,0,0,0,0,0
2011-12-11,LAX,0,0,0,0,0
2011-12-12,LAX,0,1,0,0,0
2011-12-13,LAX,0,0,0,0,0
2011-12-14,LAX,0,0,0,0,0
2011-12-15,LAX,0,1,0,1,0
2011-12-16,LAX,1,0,0,0,0
2011-12-17,LAX,0,1,0,0,0
2011-12-18,LAX,0,0,0,0,0
2011-12-19,LAX,0,0,0,0,0
2011-12-20,LAX,0,0,0,0,0
2011-12-21,LAX,0,0,0,0,0
2011-12-22,LAX,1,0,0,0,0
2011-12-23,LAX,0,0,0,0,0
2011-12-24,LAX,0,0,0,0,0
2011-12-25,LAX,0,0,0,0,0
2011-12-26,LAX,0,0,0,0,0
2011-12-27,LAX,1,0,0,0,0
2011-12-28,LAX,0,0,0,0,0
2011-12-29,LAX,1,0,0,0,0
2011-12-30,LAX,1,0,0,0,0
2011-12-31,LAX,1,0,0,0,0
2011-09-01,DFW,0,0,0,0,0
2011-09-02,DFW,0,0,0,0,0
2011-09-03,DFW,0,0,0,0,0
2011-09-04,DFW,0,0,0,0,0
2011-09-05,DFW,0,0,0,0,0
2011-09-06,DFW,0,0,0,0,0
2011-09-07,DFW,0,0,0,0,0
2011-09-08,DFW,0,0,0,0,0
2011-09-09,DFW,0,0,0,0,0
2011-09-10,DFW,0,0,0,0,0
2011-09-11,DFW,0,0,0,0,0
2011-09-12,DFW,0,0,0,0,0
2011-09-13,DFW,0,0,0,0,0
2011-09-14,DFW,0,1,0,1,0
2011-09-15,DFW,0,0,0,0,0
2011-09-16,DFW,0,1,0,1,0
2011-09-17,DFW,0,0,0,0,0
2011-09-18,DFW,0,0,0,1,0
2011-09-19,DFW,0,0,0,0,0
2011-09-20,DFW,0,0,0,0,0
2011-09-21,DFW,0,0,0,0,0
2011-09-22,DFW,0,1,0,0,0
2011-09-23,DFW,0,0,0,0,0
2011-09-24,DFW,0,0,0,0,0
2011-09-25,DFW,0,0,0,0,0
2011-09-26,DFW,0,0,0,0,0
2011-09-27,DFW,0,0,0,0,0
2011-09-28,DFW,0,0,0,0,0
2011-09-29,DFW,0,1,0,1,0
2011-09-30,DFW,0,0,0,0,0
2011-10-01,DFW,0,0,0,0,0
2011-10-02,DFW,0,0,0,0,0
2011-10-03,DFW,0,0,0,0,0
2011-10-04,DFW,0,0,0,0,0
2011-10-05,DFW,0,0,0,0,0
2011-10-06,DFW,0,0,0,0,0
2011-10-07,DFW,0,0,0,0,0
2011-10-08,DFW,0,1,0,0,0
2011-10-09,DFW,0,1,0,0,0
2011-10-10,DFW,1,0,0,0,0
2011-10-11,DFW,0,0,0,0,0
2011-10-12,DFW,0,1,0,1,0
2011-10-13,DFW,0,0,0,0,0
2011-10-14,DFW,0,0,0,0,0
2011-10-15,DFW,0,0,0,0,0
2011-10-16,DFW,0,0,0,0,0
2011-10-17,DFW,0,1,0,1,0
2011-10-18,DFW,0,0,0,0,0
2011-10-19,DFW,0,0,0,0,0
2011-10-20,DFW,0,0,0,0,0
2011-10-21,DFW,0,0,0,0,0
2011-10-22,DFW,0,0,0,0,0
2011-10-23,DFW,0,1,0,1,0
2011-10-24,DFW,1,0,0,0,0
2011-10-25,DFW,0,0,0,0,0
2011-10-26,DFW,0,0,0,0,0
2011-10-27,DFW,0,1,0,0,0
2011-10-28,DFW,0,0,0,0,0
2011-10-29,DFW,0,0,0,0,0
2011-10-30,DFW,0,0,0,0,0
2011-10-31,DFW,0,0,0,0,0
2011-11-01,DFW,0,0,0,0,0
2011-11-02,DFW,0,0,0,0,0
2011-11-03,DFW,0,0,0,0,0
2011-11-04,DFW,0,0,0,0,0
2011-11-05,DFW,0,0,0,0,0
2011-11-06,DFW,0,0,0,0,0
2011-11-07,DFW,0,1,0,1,0
2011-11-08,DFW,0,1,0,0,0
2011-11-09,DFW,0,0,0,0,0
2011-11-10,DFW,0,0,0,0,0
2011-11-11,DFW,0,0,0,0,0
2011-11-12,DFW,0,0,0,0,0
2011-11-13,DFW,0,0,0,0,0
2011-11-14,DFW,0,1,0,0,0
2011-11-15,DFW,0,1,0,0,0
2011-11-16,DFW,0,0,0,0,0
2011-11-17,DFW,0,0,0,0,0
2011-11-18,DFW,0,0,0,0,0
2011-11-19,DFW,0,0,0,0,0
2011-11-20,DFW,0,1,0,0,0
2011-11-21,DFW,0,1,0,1,0
2011-11-22,DFW,0,0,0,0,0
2011-11-23,DFW,1,0,0,0,0
2011-11-24,DFW,1,0,0,0,0
2011-11-25,DFW,0,0,0,0,0
2011-11-26,DFW,0,1,0,0,0
2011-11-27,DFW,0,0,0,0,0
2011-11-28,DFW,0,0,0,0,0
2011-11-29,DFW,0,0,0,0,0
2011-11-30,DFW,0,0,0,0,0
2011-12-01,DFW,0,0,0,0,0
2011-12-02,DFW,0,1,0,0,0
2011-12-03,DFW,0,1,0,0,0
2011-12-04,DFW,0,1,0,1,0
2011-12-05,DFW,0,1,0,1,0
2011-12-06,DFW,0,1,0,0,0
2011-12-07,DFW,0,0,0,0,0
2011-12-08,DFW,0,0,0,0,0
2011-12-09,DFW,1,0,0,0,0
2011-12-10,DFW,0,0,0,0,0
2011-12-11,DFW,0,0,0,0,0
2011-12-12,DFW,0,1,0,0,0
2011-12-13,DFW,0,1,0,0,0
2011-12-14,DFW,0,1,0,0,0
2011-12-15,DFW,0,1,0,1,0
2011-12-16,DFW,0,1,0,0,0
2011-12-17,DFW,0,0,0,0,0
2011-12-18,DFW,0,0,0,0,0
2011-12-19,DFW,1,1,0,0,0
2011-12-20,DFW,1,0,0,0,0
2011-12-21,DFW,0,0,0,0,0
2011-12-22,DFW,0,0,0,0,0
2011-12-23,DFW,0,0,0,0,0
2011-12-24,DFW,0,1,0,0,0
2011-12-25,DFW,0,0,0,0,0
2011-12-26,DFW,0,1,0,0,0
2011-12-27,DFW,0,0,0,0,0
2011-12-28,DFW,0,0,0,0,0
2011-12-29,DFW,0,0,0,0,0
2011-12-30,DFW,0,0,0,0,0
2011-12-31,DFW,0,0,0,0,0
2011-09-01,DEN,0,0,0,0,0
2011-09-02,DEN,0,1,0,1,0
2011-09-03,DEN,0,0,0,0,0
2011-09-04,DEN,0,0,0,0,0
2011-09-05,DEN,0,0,0,0,0
2011-09-06,DEN,0,1,0,0,0
2011-09-07,DEN,0,0,0,0,0
2011-09-08,DEN,0,0,0,0,0
2011-09-09,DEN,0,0,0,0,0
2011-09-10,DEN,0,0,0,0,0
2011-09-11,DEN,0,0,0,0,0
2011-09-12,DEN,0,1,0,1,0
2011-09-13,DEN,0,0,0,0,0
2011-09-14,DEN,0,1,0,0,0
2011-09-15,DEN,0,1,0,0,0
2011-09-16,DEN,1,0,0,0,0
2011-09-17,DEN,0,1,0,1,0
2011-09-18,DEN,0,0,0,0,0
2011-09-19,DEN,0,0,0,0,0
2011-09-20,DEN,0,0,0,0,0
2011-09-21,DEN,0,0,0,0,0
2011-09-22,DEN,0,0,0,0,0
2011-09-23,DEN,0,0,0,0,0
2011-09-24,DEN,0,0,0,0,0
2011-09-25,DEN,0,0,0,0,0
2011-09-26,DEN,0,0,0,0,0
2011-09-27,DEN,0,0,0,0,0
2011-09-28,DEN,0,0,0,0,0
2011-09-29,DEN,0,0,0,0,0
2011-09-30,DEN,0,0,0,0,0
2011-10-01,DEN,0,0,0,0,0
2011-10-02,DEN,0,1,0,1,0
2011-10-03,DEN,0,0,0,0,0
2011-10-04,DEN,0,0,0,0,0
2011-10-05,DEN,0,0,0,0,0
2011-10-06,DEN,0,0,0,0,0
2011-10-07,DEN,0,1,0,0,0
2011-10-08,DEN,0,1,0,0,1
2011-10-09,DEN,0,0,0,0,0
2011-10-10,DEN,0,0,0,0,0
2011-10-11,DEN,0,0,0,0,0
2011-10-12,DEN,0,0,0,0,0
2011-10-13,DEN,0,0,0,0,0
2011-10-14,DEN,0,0,0,0,0
2011-10-15,DEN,0,0,0,0,0
2011-10-16,DEN,0,0,0,0,0
2011-10-17,DEN,0,1,0,0,0
2011-10-18,DEN,0,0,0,0,0
2011-10-19,DEN,0,0,0,0,0
2011-10-20,DEN,0,0,0,0,0
2011-10-21,DEN,0,0,0,0,0
2011-10-22,DEN,0,0,0,0,0
2011-10-23,DEN,0,0,0,0,0
2011-10-24,DEN,0,0,0,0,0
2011-10-25,DEN,0,1,0,0,1
2011-10-26,DEN,1,0,0,0,1
2011-10-27,DEN,0,0,0,0,0
2011-10-28,DEN,0,0,0,0,0
2011-10-29,DEN,0,0,0,0,0
2011-10-30,DEN,0,0,0,0,0
2011-10-31,DEN,0,0,0,0,0
2011-11-01,DEN,1,1,0,0,1
2011-11-02,DEN,1,0,0,0,1
2011-11-03,DEN,0,0,0,0,0
2011-11-04,DEN,0,0,0,0,0
2011-11-05,DEN,0,1,0,0,0
2011-11-06,DEN,0,0,0,0,0
2011-11-07,DEN,0,0,0,0,0
2011-11-08,DEN,1,0,0,0,0
2011-11-09,DEN,0,0,0,0,0
2011-11-10,DEN,0,0,0,0,0
2011-11-11,DEN,0,0,0,0,0
2011-11-12,DEN,0,0,0,0,0
2011-11-13,DEN,0,0,0,0,0
2011-11-14,DEN,0,0,0,0,0
2011-11-15,DEN,0,0,0,0,0
2011-11-16,DEN,0,0,0,0,0
2011-11-17,DEN,0,0,0,0,0
2011-11-18,DEN,0,0,0,0,0
2011-11-19,DEN,0,0,0,0,0
2011-11-20,DEN,0,0,0,0,0
2011-11-21,DEN,0,0,0,0,0
2011-11-22,DEN,0,0,0,0,0
2011-11-23,DEN,0,0,0,0,0
2011-11-24,DEN,0,0,0,0,0
2011-11-25,DEN,0,1,0,0,0
2011-11-26,DEN,0,0,0,0,0
2011-11-27,DEN,0,0,0,0,0
2011-11-28,DEN,0,0,0,0,0
2011-11-29,DEN,0,0,0,0,0
2011-11-30,DEN,0,0,0,0,0
2011-12-01,DEN,1,0,0,0,1
2011-12-02,DEN,0,0,0,0,0
2011-12-03,DEN,1,0,0,0,1
2011-12-04,DEN,1,0,0,0,1
2011-12-05,DEN,0,0,0,0,0
2011-12-06,DEN,0,0,0,0,0
2011-12-07,DEN,0,0,0,0,0
2011-12-08,DEN,0,0,0,0,0
2011-12-09,DEN,1,0,0,0,0
2011-12-10,DEN,0,0,0,0,0
2011-12-11,DEN,0,0,0,0,0
2011-12-12,DEN,0,0,0,0,0
2011-12-13,DEN,0,0,0,0,0
2011-12-14,DEN,0,0,0,0,0
2011-12-15,DEN,0,0,0,0,0
2011-12-16,DEN,0,0,0,0,0
2011-12-17,DEN,0,0,0,0,0
2011-12-18,DEN,0,0,0,0,0
2011-12-19,DEN,0,0,0,0,1
2011-12-20,DEN,0,0,0,0,0
2011-12-21,DEN,1,0,0,0,1
2011-12-22,DEN,0,0,0,0,1
2011-12-23,DEN,0,0,0,0,0
2011-12-24,DEN,0,0,0,0,0
2011-12-25,DEN,0,0,0,0,0
2011-12-26,DEN,0,0,0,0,0
2011-12-27,DEN,0,0,0,0,0
2011-12-28,DEN,0,0,0,0,0
2011-12-29,DEN,0,0,0,0,0
2011-12-30,DEN,0,0,0,0,0
2011-12-31,DEN,0,0,0,0,0
2011-09-01,JFK,0,0,0,0,0
2011-09-02,JFK,0,0,0,0,0
2011-09-03,JFK,0,0,0,0,0
2011-09-04,JFK,0,0,0,0,0
2011-09-05,JFK,0,0,0,0,0
2011-09-06,JFK,0,1,0,0,0
2011-09-07,JFK,0,1,0,1,0
2011-09-08,JFK,1,1,0,0,0
2011-09-09,JFK,0,0,0,0,0
2011-09-10,JFK,0,0,0,0,0
2011-09-11,JFK,0,1,0,0,0
2011-09-12,JFK,0,0,0,0,0
2011-09-13,JFK,0,0,0,0,0
2011-09-14,JFK,0,0,0,0,0
2011-09-15,JFK,0,1,0,0,0
2011-09-16,JFK,0,0,0,0,0
2011-09-17,JFK,0,0,0,0,0
2011-09-18,JFK,0,0,0,0,0
2011-09-19,JFK,0,0,0,0,0
2011-09-20,JFK,0,1,0,0,0
2011-09-21,JFK,0,0,0,0,0
2011-09-22,JFK,1,1,0,0,0
2011-09-23,JFK,1,1,0,0,0
2011-09-24,JFK,0,0,0,0,0
2011-09-25,JFK,0,0,0,0,0
2011-09-26,JFK,1,0,0,0,0
2011-09-27,JFK,1,0,0,0,0
2011-09-28,JFK,0,1,0,0,0
2011-09-29,JFK,0,1,0,1,0
2011-09-30,JFK,0,1,0,1,0
2011-10-01,JFK,0,1,0,0,0
2011-10-02,JFK,0,1,0,0,0
2011-10-03,JFK,0,1,0,0,0
2011-10-04,JFK,0,0,0,0,0
2011-10-05,JFK,0,0,0,0,0
2011-10-06,JFK,0,0,0,0,0
2011-10-07,JFK,0,0,0,0,0
2011-10-08,JFK,0,0,0,0,0
2011-10-09,JFK,0,0,0,0,0
2011-10-10,JFK,0,0,0,0,0
2011-10-11,JFK,0,0,0,0,0
2011-10-12,JFK,0,1,0,0,0
2011-10-13,JFK,1,1,0,0,0
2011-10-14,JFK,1,1,0,1,0
2011-10-15,JFK,0,0,0,0,0
2011-10-16,JFK,0,0,0,0,0
2011-10-17,JFK,0,1,0,0,0
2011-10-18,JFK,0,0,0,0,0
2011-10-19,JFK,0,1,0,0,0
2011-10-20,JFK,0,1,0,0,0
2011-10-21,JFK,0,0,0,0,0
2011-10-22,JFK,0,0,0,0,0
