DateOfDeparture,Departure,Arrival,Mean_Temp
2011-09-01,ORD,DTW,28.318496
2011-09-01,ORD,EWR,31.288768
2011-09-01,ORD,IAH,28.356752
2011-09-01,ORD,LAS,24.374512
2011-09-01,ORD,LAX,30.59224
2011-09-01,ORD,LGA,37.210528
2011-09-01,ORD,MSP,31.11348
2011-09-01,ORD,PHL,29.821296
2011-09-01,ORD,PHX,26.445712
2011-09-01,ORD,SEA,26.131616
2011-09-01,ORD,SFO,31.751392
2011-09-01,PHL,ATL,31.877112
2011-09-01,PHL,BOS,27.939536
2011-09-01,PHL,DFW,25.718512
2011-09-01,PHL,MCO,21.732032
2011-09-01,PHL,ORD,30.440416
2011-09-01,PHX,DEN,28.708968
2011-09-01,PHX,ORD,25.039296
2011-09-01,SEA,DEN,27.925664
2011-09-01,SEA,LAX,26.519184
2011-09-01,SEA,ORD,28.452752
2011-09-01,SEA,SFO,30.285728
2011-09-01,SFO,ATL,28.29868
2011-09-01,SFO,BOS,30.002432
2011-09-01,SFO,DEN,28.953632
2011-09-01,SFO,DFW,29.388736
2011-09-01,SFO,EWR,30.236696
2011-09-01,SFO,JFK,30.653432
2011-09-01,SFO,LAS,28.044736
2011-09-01,SFO,LAX,34.8162
2011-09-01,SFO,ORD,34.50464
2011-09-01,SFO,SEA,27.786944
2011-09-02,ATL,BOS,27.737592
2011-09-02,ATL,CLT,25.607168
2011-09-02,ATL,DEN,25.611512
2011-09-02,ATL,DFW,30.596656
2011-09-02,ATL,DTW,25.212472
2011-09-02,ATL,EWR,26.319896
2011-09-02,ATL,LAX,25.765056
2011-09-02,ATL,LGA,32.113952
2011-09-02,ATL,MCO,28.715688
2011-09-02,ATL,MIA,26.193056
2011-09-02,ATL,MSP,23.325272
2011-09-02,ATL,ORD,27.036624
2011-09-02,ATL,PHL,28.465976
2011-09-02,ATL,SFO,22.47772
2011-09-02,BOS,ATL,28.264624
2011-09-02,BOS,EWR,25.647176
2011-09-02,BOS,LAX,23.415632
2011-09-02,BOS,LGA,23.501704
2011-09-02,BOS,ORD,27.780656
2011-09-02,BOS,PHL,23.527584
2011-09-02,BOS,SFO,26.55956
2011-09-02,CLT,ATL,24.022856
2011-09-02,CLT,LGA,26.10556
2011-09-02,DEN,ATL,26.62628
2011-09-02,DEN,DFW,27.14328
2011-09-02,DEN,LAS,27.979176
2011-09-02,DEN,LAX,27.12632
2011-09-02,DEN,MSP,26.906168
2011-09-02,DEN,ORD,26.944216
2011-09-02,DEN,PHX,27.468136
2011-09-02,DEN,SEA,26.565264
2011-09-02,DEN,SFO,25.490256
2011-09-02,DFW,ATL,29.899144
2011-09-02,DFW,BOS,25.611272
2011-09-02,DFW,DEN,28.461312
2011-09-02,DFW,LAS,27.01124
2011-09-02,DFW,LAX,28.512232
2011-09-02,DFW,LGA,24.846368
2011-09-02,DFW,ORD,31.8582
2011-09-02,DFW,PHL,22.40032
2011-09-02,DFW,SFO,25.077304
2011-09-02,DTW,ATL,24.386848
2011-09-02,DTW,LGA,25.404632
2011-09-02,DTW,ORD,23.095176
2011-09-02,EWR,ATL,26.274664
2011-09-02,EWR,BOS,23.699184
2011-09-02,EWR,LAX,23.25788
2011-09-02,EWR,MCO,25.715944
2011-09-02,EWR,ORD,27.628416
2011-09-02,EWR,SFO,23.025504
2011-09-02,IAH,LAX,24.343152
2011-09-02,IAH,ORD,27.543008
2011-09-02,JFK,LAS,26.23312
2011-09-02,JFK,LAX,33.604656
2011-09-02,JFK,MCO,22.664176
2011-09-02,JFK,MIA,25.66076
2011-09-02,JFK,SFO,30.122144
2011-09-02,LAS,DEN,27.56032
2011-09-02,LAS,DFW,26.514744
2011-09-02,LAS,JFK,25.942912
2011-09-02,LAS,LAX,31.961024
2011-09-02,LAS,ORD,26.30432
2011-09-02,LAS,SFO,28.216384
2011-09-02,LAX,ATL,27.83392
2011-09-02,LAX,BOS,25.017584
2011-09-02,LAX,DEN,28.582816
2011-09-02,LAX,DFW,28.512416
2011-09-02,LAX,EWR,25.042192
2011-09-02,LAX,IAH,27.97592
2011-09-02,LAX,JFK,32.809072
2011-09-02,LAX,LAS,33.439184
2011-09-02,LAX,ORD,31.254744
2011-09-02,LAX,SEA,29.15452
2011-09-02,LAX,SFO,31.884072
2011-09-02,LGA,ATL,32.671016
2011-09-02,LGA,BOS,20.820984
2011-09-02,LGA,CLT,24.822336
2011-09-02,LGA,DFW,24.538896
2011-09-02,LGA,DTW,25.363664
2011-09-02,LGA,MIA,23.524136
2011-09-02,LGA,ORD,32.854568
2011-09-02,MCO,ATL,26.734208
2011-09-02,MCO,EWR,26.148824
2011-09-02,MCO,PHL,26.444904
2011-09-02,MIA,ATL,24.949056
2011-09-02,MIA,JFK,25.696952
2011-09-02,MIA,LGA,24.004088
2011-09-02,MSP,ATL,26.174232
2011-09-02,MSP,DEN,25.927264
2011-09-02,MSP,ORD,28.797096
2011-09-02,ORD,ATL,27.097592
2011-09-02,ORD,BOS,28.430752
2011-09-02,ORD,DEN,24.871808
2011-09-02,ORD,DFW,28.957632
2011-09-02,ORD,DTW,25.07392
2011-09-02,ORD,EWR,27.59676
2011-09-02,ORD,IAH,27.350848
2011-09-02,ORD,LAS,26.687872
2011-09-02,ORD,LAX,31.140368
2011-09-02,ORD,LGA,34.68696
2011-09-02,ORD,MSP,25.762784
2011-09-02,ORD,PHL,27.7644
2011-09-02,ORD,PHX,24.57924
2011-09-02,ORD,SEA,22.703768
2011-09-02,ORD,SFO,28.904424
2011-09-02,PHL,ATL,29.310656
2011-09-02,PHL,BOS,24.565536
2011-09-02,PHL,DFW,22.415544
2011-09-02,PHL,MCO,24.564496
2011-09-02,PHL,ORD,27.490736
2011-09-02,PHX,DEN,26.213744
2011-09-02,PHX,ORD,24.125584
2011-09-02,SEA,DEN,25.245288
2011-09-02,SEA,LAX,29.292056
2011-09-02,SEA,ORD,27.992016
2011-09-02,SEA,SFO,28.21248
2011-09-02,SFO,ATL,27.536384
2011-09-02,SFO,BOS,30.93592
2011-09-02,SFO,DEN,30.212648
2011-09-02,SFO,DFW,29.01376
2011-09-02,SFO,EWR,30.442296
2011-09-02,SFO,JFK,33.066376
2011-09-02,SFO,LAS,26.85228
2011-09-02,SFO,LAX,33.333544
2011-09-02,SFO,ORD,32.260488
2011-09-02,SFO,SEA,27.394896
2011-09-03,ATL,BOS,24.729976
2011-09-03,ATL,CLT,18.972984
2011-09-03,ATL,DEN,20.355792
2011-09-03,ATL,DFW,18.964576
2011-09-03,ATL,DTW,21.547048
2011-09-03,ATL,EWR,22.620144
2011-09-03,ATL,LAX,26.132832
2011-09-03,ATL,LGA,25.659688
2011-09-03,ATL,MCO,24.974624
2011-09-03,ATL,MIA,20.3538
2011-09-03,ATL,MSP,16.452672
2011-09-03,ATL,ORD,19.336328
2011-09-03,ATL,PHL,22.669944
2011-09-03,ATL,SFO,20.122408
2011-09-03,BOS,ATL,22.87476
2011-09-03,BOS,EWR,17.430792
2011-09-03,BOS,LAX,22.721792
2011-09-03,BOS,LGA,10.2858
2011-09-03,BOS,ORD,24.476272
2011-09-03,BOS,PHL,17.745008
2011-09-03,BOS,SFO,20.055072
2011-09-03,CLT,ATL,15.941856
2011-09-03,CLT,LGA,19.637704
2011-09-03,DEN,ATL,20.047472
2011-09-03,DEN,DFW,20.52052
2011-09-03,DEN,LAS,25.388512
2011-09-03,DEN,LAX,23.485664
2011-09-03,DEN,MSP,19.89796
2011-09-03,DEN,ORD,20.431608
2011-09-03,DEN,PHX,19.085144
2011-09-03,DEN,SEA,24.056344
2011-09-03,DEN,SFO,18.595168
2011-09-03,DFW,ATL,22.71348
2011-09-03,DFW,BOS,16.202376
2011-09-03,DFW,DEN,23.87292
2011-09-03,DFW,LAS,20.389392
2011-09-03,DFW,LAX,24.358336
2011-09-03,DFW,LGA,21.096848
2011-09-03,DFW,ORD,24.420096
2011-09-03,DFW,PHL,13.277656
2011-09-03,DFW,SFO,22.133392
2011-09-03,DTW,ATL,19.744064
2011-09-03,DTW,LGA,23.585288
2011-09-03,DTW,ORD,15.986296
2011-09-03,EWR,ATL,16.030048
2011-09-03,EWR,BOS,16.872696
2011-09-03,EWR,LAX,22.648528
2011-09-03,EWR,MCO,20.236168
2011-09-03,EWR,ORD,19.49904
2011-09-03,EWR,SFO,23.38632
2011-09-03,IAH,LAX,23.871304
2011-09-03,IAH,ORD,20.066984
2011-09-03,JFK,LAS,22.591832
2011-09-03,JFK,LAX,31.027312
2011-09-03,JFK,MCO,21.116776
2011-09-03,JFK,MIA,23.818536
2011-09-03,JFK,SFO,25.182248
2011-09-03,LAS,DEN,20.727392
2011-09-03,LAS,DFW,20.93628
2011-09-03,LAS,JFK,22.602528
2011-09-03,LAS,LAX,26.866608
2011-09-03,LAS,ORD,21.792952
2011-09-03,LAS,SFO,25.867424
2011-09-03,LAX,ATL,23.629976
2011-09-03,LAX,BOS,23.644856
2011-09-03,LAX,DEN,22.75104
2011-09-03,LAX,DFW,25.891304
2011-09-03,LAX,EWR,22.026808
2011-09-03,LAX,IAH,19.660384
2011-09-03,LAX,JFK,30.522896
2011-09-03,LAX,LAS,28.584656
2011-09-03,LAX,ORD,30.803376
2011-09-03,LAX,SEA,24.98588
2011-09-03,LAX,SFO,28.883488
2011-09-03,LGA,ATL,22.861192
2011-09-03,LGA,BOS,10.184464
2011-09-03,LGA,CLT,15.513592
2011-09-03,LGA,DFW,16.483024
2011-09-03,LGA,DTW,23.438152
2011-09-03,LGA,MIA,19.167272
2011-09-03,LGA,ORD,27.204424
2011-09-03,MCO,ATL,23.113384
2011-09-03,MCO,EWR,24.086872
2011-09-03,MCO,PHL,20.824368
2011-09-03,MIA,ATL,20.772624
2011-09-03,MIA,JFK,24.450936
2011-09-03,MIA,LGA,22.786976
2011-09-03,MSP,ATL,20.805384
2011-09-03,MSP,DEN,20.49564
2011-09-03,MSP,ORD,19.705432
2011-09-03,ORD,ATL,21.479136
2011-09-03,ORD,BOS,22.543896
2011-09-03,ORD,DEN,23.4754
2011-09-03,ORD,DFW,23.524816
2011-09-03,ORD,DTW,21.664112
2011-09-03,ORD,EWR,25.03536
2011-09-03,ORD,IAH,19.94476
2011-09-03,ORD,LAS,26.373864
2011-09-03,ORD,LAX,27.805648
2011-09-03,ORD,LGA,25.63416
2011-09-03,ORD,MSP,19.38784
2011-09-03,ORD,PHL,18.274008
2011-09-03,ORD,PHX,17.159072
2011-09-03,ORD,SEA,21.12512
2011-09-03,ORD,SFO,26.26476
2011-09-03,PHL,ATL,19.209376
2011-09-03,PHL,BOS,17.718216
2011-09-03,PHL,DFW,12.019776
2011-09-03,PHL,MCO,19.198312
2011-09-03,PHL,ORD,17.244064
2011-09-03,PHX,DEN,18.497672
2011-09-03,PHX,ORD,20.442432
2011-09-03,SEA,DEN,21.71616
2011-09-03,SEA,LAX,26.075896
2011-09-03,SEA,ORD,22.761856
2011-09-03,SEA,SFO,24.786368
2011-09-03,SFO,ATL,24.4342
2011-09-03,SFO,BOS,24.356936
2011-09-03,SFO,DEN,23.039976
2011-09-03,SFO,DFW,21.701576
2011-09-03,SFO,EWR,25.603872
2011-09-03,SFO,JFK,28.059664
2011-09-03,SFO,LAS,25.667832
2011-09-03,SFO,LAX,32.064432
2011-09-03,SFO,ORD,26.94796
2011-09-03,SFO,SEA,24.68088
2011-09-04,ATL,BOS,21.615576
2011-09-04,ATL,CLT,14.572936
2011-09-04,ATL,DEN,17.227928
2011-09-04,ATL,DFW,22.982736
2011-09-04,ATL,DTW,20.204456
2011-09-04,ATL,EWR,22.332976
2011-09-04,ATL,LAX,26.862528
2011-09-04,ATL,LGA,27.370352
2011-09-04,ATL,MCO,22.224128
2011-09-04,ATL,MIA,19.641368
2011-09-04,ATL,MSP,15.842264
2011-09-04,ATL,ORD,21.340216
2011-09-04,ATL,PHL,22.598936
2011-09-04,ATL,SFO,18.93992
2011-09-04,BOS,ATL,21.544896
2011-09-04,BOS,EWR,17.407008
2011-09-04,BOS,LAX,21.678784
2011-09-04,BOS,LGA,9.632936
2011-09-04,BOS,ORD,21.031392
2011-09-04,BOS,PHL,12.720648
2011-09-04,BOS,SFO,18.918008
2011-09-04,CLT,ATL,17.652632
2011-09-04,CLT,LGA,19.08496
2011-09-04,DEN,ATL,21.516672
2011-09-04,DEN,DFW,20.816312
2011-09-04,DEN,LAS,19.9552
2011-09-04,DEN,LAX,22.120384
2011-09-04,DEN,MSP,20.5356
2011-09-04,DEN,ORD,18.09912
2011-09-04,DEN,PHX,19.61492
2011-09-04,DEN,SEA,22.10396
2011-09-04,DEN,SFO,18.401792
2011-09-04,DFW,ATL,22.707344
2011-09-04,DFW,BOS,18.584536
2011-09-04,DFW,DEN,23.236952
2011-09-04,DFW,LAS,19.907024
2011-09-04,DFW,LAX,25.637192
2011-09-04,DFW,LGA,24.688704
2011-09-04,DFW,ORD,22.986512
2011-09-04,DFW,PHL,15.5366
2011-09-04,DFW,SFO,20.460688
2011-09-04,DTW,ATL,18.372152
2011-09-04,DTW,LGA,23.325768
2011-09-04,DTW,ORD,14.380176
2011-09-04,EWR,ATL,16.505688
2011-09-04,EWR,BOS,19.373856
2011-09-04,EWR,LAX,22.600432
2011-09-04,EWR,MCO,20.178192
2011-09-04,EWR,ORD,19.493736
2011-09-04,EWR,SFO,23.86568
2011-09-04,IAH,LAX,22.66776
2011-09-04,IAH,ORD,21.006808
2011-09-04,JFK,LAS,24.372504
2011-09-04,JFK,LAX,29.582608
2011-09-04,JFK,MCO,23.990936
2011-09-04,JFK,MIA,24.507096
2011-09-04,JFK,SFO,28.21572
2011-09-04,LAS,DEN,23.451616
2011-09-04,LAS,DFW,24.820432
2011-09-04,LAS,JFK,25.534568
2011-09-04,LAS,LAX,31.73236
2011-09-04,LAS,ORD,25.60856
2011-09-04,LAS,SFO,26.774584
2011-09-04,LAX,ATL,26.120624
2011-09-04,LAX,BOS,23.345968
2011-09-04,LAX,DEN,21.455024
2011-09-04,LAX,DFW,24.66004
2011-09-04,LAX,EWR,20.990008
2011-09-04,LAX,IAH,21.260928
2011-09-04,LAX,JFK,33.773488
2011-09-04,LAX,LAS,28.189496
2011-09-04,LAX,ORD,26.584952
2011-09-04,LAX,SEA,24.172864
2011-09-04,LAX,SFO,29.3128
2011-09-04,LGA,ATL,24.780368
2011-09-04,LGA,BOS,8.09816
2011-09-04,LGA,CLT,16.6926
2011-09-04,LGA,DFW,17.76456
2011-09-04,LGA,DTW,20.66376
2011-09-04,LGA,MIA,21.808864
2011-09-04,LGA,ORD,25.822208
2011-09-04,MCO,ATL,22.924432
2011-09-04,MCO,EWR,24.403848
2011-09-04,MCO,PHL,23.062592
2011-09-04,MIA,ATL,21.350088
2011-09-04,MIA,JFK,27.553392
2011-09-04,MIA,LGA,22.676152
2011-09-04,MSP,ATL,17.047672
2011-09-04,MSP,DEN,17.647176
2011-09-04,MSP,ORD,18.627416
2011-09-04,ORD,ATL,19.247
2011-09-04,ORD,BOS,26.49864
2011-09-04,ORD,DEN,21.413168
2011-09-04,ORD,DFW,22.023296
2011-09-04,ORD,DTW,17.758016
2011-09-04,ORD,EWR,24.54528
2011-09-04,ORD,IAH,21.23496
2011-09-04,ORD,LAS,21.6584
2011-09-04,ORD,LAX,26.925392
2011-09-04,ORD,LGA,26.728816
2011-09-04,ORD,MSP,20.745096
2011-09-04,ORD,PHL,21.064456
2011-09-04,ORD,PHX,19.02452
2011-09-04,ORD,SEA,20.755736
2011-09-04,ORD,SFO,23.867744
2011-09-04,PHL,ATL,16.645456
2011-09-04,PHL,BOS,15.017584
2011-09-04,PHL,DFW,11.287376
2011-09-04,PHL,MCO,18.385528
2011-09-04,PHL,ORD,15.592976
2011-09-04,PHX,DEN,18.558288
2011-09-04,PHX,ORD,18.306672
2011-09-04,SEA,DEN,24.149
2011-09-04,SEA,LAX,26.678544
2011-09-04,SEA,ORD,21.2042
2011-09-04,SEA,SFO,20.574224
2011-09-04,SFO,ATL,19.945504
2011-09-04,SFO,BOS,21.725712
2011-09-04,SFO,DEN,19.830984
2011-09-04,SFO,DFW,18.811112
2011-09-04,SFO,EWR,24.855504
2011-09-04,SFO,JFK,27.82348
2011-09-04,SFO,LAS,24.148544
2011-09-04,SFO,LAX,26.344664
2011-09-04,SFO,ORD,25.339392
2011-09-04,SFO,SEA,24.113168
2011-09-05,ATL,BOS,28.96252
2011-09-05,ATL,CLT,24.443384
2011-09-05,ATL,DEN,24.081768
2011-09-05,ATL,DFW,30.9226
2011-09-05,ATL,DTW,23.93256
2011-09-05,ATL,EWR,23.196536
2011-09-05,ATL,LAX,27.282272
2011-09-05,ATL,LGA,31.298024
2011-09-05,ATL,MCO,27.130136
2011-09-05,ATL,MIA,25.548616
2011-09-05,ATL,MSP,25.975936
2011-09-05,ATL,ORD,26.455848
2011-09-05,ATL,PHL,25.6532
2011-09-05,ATL,SFO,24.067032
2011-09-05,BOS,ATL,23.403168
2011-09-05,BOS,EWR,21.795224
2011-09-05,BOS,LAX,26.703856
2011-09-05,BOS,LGA,19.044232
2011-09-05,BOS,ORD,25.979648
2011-09-05,BOS,PHL,22.603704
2011-09-05,BOS,SFO,23.356024
2011-09-05,CLT,ATL,24.251552
2011-09-05,CLT,LGA,20.951712
2011-09-05,DEN,ATL,24.399344
2011-09-05,DEN,DFW,27.086584
2011-09-05,DEN,LAS,22.364576
2011-09-05,DEN,LAX,26.914376
2011-09-05,DEN,MSP,23.504896
2011-09-05,DEN,ORD,23.080568
2011-09-05,DEN,PHX,26.667368
2011-09-05,DEN,SEA,26.808792
2011-09-05,DEN,SFO,23.126512
2011-09-05,DFW,ATL,25.646568
2011-09-05,DFW,BOS,22.066576
2011-09-05,DFW,DEN,22.336984
2011-09-05,DFW,LAS,20.613032
2011-09-05,DFW,LAX,26.080976
2011-09-05,DFW,LGA,22.8132
2011-09-05,DFW,ORD,27.284048
2011-09-05,DFW,PHL,23.17176
2011-09-05,DFW,SFO,23.195248
2011-09-05,DTW,ATL,21.375472
2011-09-05,DTW,LGA,24.382072
2011-09-05,DTW,ORD,21.405584
2011-09-05,EWR,ATL,26.355696
2011-09-05,EWR,BOS,22.058144
2011-09-05,EWR,LAX,27.752696
2011-09-05,EWR,MCO,23.777352
2011-09-05,EWR,ORD,27.889688
2011-09-05,EWR,SFO,24.804304
2011-09-05,IAH,LAX,27.065968
2011-09-05,IAH,ORD,27.27064
2011-09-05,JFK,LAS,23.829464
2011-09-05,JFK,LAX,35.347664
2011-09-05,JFK,MCO,21.757384
2011-09-05,JFK,MIA,26.080336
2011-09-05,JFK,SFO,28.871616
2011-09-05,LAS,DEN,23.670768
2011-09-05,LAS,DFW,26.527576
2011-09-05,LAS,JFK,28.165336
2011-09-05,LAS,LAX,29.488576
2011-09-05,LAS,ORD,29.268512
2011-09-05,LAS,SFO,29.980104
2011-09-05,LAX,ATL,24.182816
2011-09-05,LAX,BOS,21.957624
2011-09-05,LAX,DEN,25.223192
2011-09-05,LAX,DFW,25.281008
2011-09-05,LAX,EWR,26.370816
2011-09-05,LAX,IAH,24.872672
2011-09-05,LAX,JFK,34.463656
2011-09-05,LAX,LAS,29.79716
2011-09-05,LAX,ORD,29.166288
2011-09-05,LAX,SEA,23.95592
2011-09-05,LAX,SFO,33.572008
2011-09-05,LGA,ATL,26.241832
2011-09-05,LGA,BOS,17.205016
2011-09-05,LGA,CLT,20.223064
2011-09-05,LGA,DFW,24.264968
2011-09-05,LGA,DTW,23.902552
2011-09-05,LGA,MIA,21.529032
2011-09-05,LGA,ORD,32.364856
2011-09-05,MCO,ATL,27.821704
2011-09-05,MCO,EWR,24.496008
2011-09-05,MCO,PHL,23.177536
2011-09-05,MIA,ATL,23.40064
2011-09-05,MIA,JFK,25.912872
2011-09-05,MIA,LGA,27.154696
2011-09-05,MSP,ATL,20.543736
2011-09-05,MSP,DEN,23.109328
2011-09-05,MSP,ORD,22.185544
2011-09-05,ORD,ATL,25.140112
2011-09-05,ORD,BOS,27.251784
2011-09-05,ORD,DEN,23.552264
2011-09-05,ORD,DFW,29.460088
2011-09-05,ORD,DTW,21.324488
2011-09-05,ORD,EWR,26.5832
2011-09-05,ORD,IAH,23.116576
2011-09-05,ORD,LAS,25.1756
2011-09-05,ORD,LAX,31.216264
2011-09-05,ORD,LGA,35.398504
2011-09-05,ORD,MSP,25.455592
2011-09-05,ORD,PHL,23.235064
2011-09-05,ORD,PHX,23.141048
2011-09-05,ORD,SEA,24.908464
2011-09-05,ORD,SFO,28.311312
2011-09-05,PHL,ATL,26.254224
2011-09-05,PHL,BOS,22.479568
2011-09-05,PHL,DFW,19.224632
2011-09-05,PHL,MCO,20.769808
2011-09-05,PHL,ORD,23.45396
2011-09-05,PHX,DEN,23.71508
2011-09-05,PHX,ORD,22.790424
2011-09-05,SEA,DEN,24.978168
2011-09-05,SEA,LAX,23.59812
2011-09-05,SEA,ORD,23.7882
2011-09-05,SEA,SFO,25.42612
2011-09-05,SFO,ATL,22.748608
2011-09-05,SFO,BOS,26.184968
2011-09-05,SFO,DEN,24.841576
2011-09-05,SFO,DFW,26.137136
2011-09-05,SFO,EWR,28.69852
2011-09-05,SFO,JFK,30.81124
2011-09-05,SFO,LAS,26.314936
2011-09-05,SFO,LAX,32.5744
2011-09-05,SFO,ORD,28.59988
2011-09-05,SFO,SEA,27.913728
2011-09-06,ATL,BOS,28.60848
2011-09-06,ATL,CLT,24.034184
2011-09-06,ATL,DEN,26.455992
2011-09-06,ATL,DFW,31.531096
2011-09-06,ATL,DTW,25.619664
2011-09-06,ATL,EWR,26.969816
2011-09-06,ATL,LAX,31.255832
2011-09-06,ATL,LGA,35.635856
2011-09-06,ATL,MCO,29.86456
2011-09-06,ATL,MIA,27.65444
2011-09-06,ATL,MSP,28.442104
2011-09-06,ATL,ORD,32.169752
2011-09-06,ATL,PHL,30.873896
2011-09-06,ATL,SFO,29.572
2011-09-06,BOS,ATL,29.725976
2011-09-06,BOS,EWR,27.378224
2011-09-06,BOS,LAX,28.047416
2011-09-06,BOS,LGA,34.781392
2011-09-06,BOS,ORD,32.493472
2011-09-06,BOS,PHL,29.24952
2011-09-06,BOS,SFO,30.446176
2011-09-06,CLT,ATL,25.378328
2011-09-06,CLT,LGA,26.909472
2011-09-06,DEN,ATL,27.064816
2011-09-06,DEN,DFW,28.674656
2011-09-06,DEN,LAS,26.958296
2011-09-06,DEN,LAX,28.89824
2011-09-06,DEN,MSP,26.349744
2011-09-06,DEN,ORD,28.52024
2011-09-06,DEN,PHX,27.095616
2011-09-06,DEN,SEA,25.614024
2011-09-06,DEN,SFO,28.611736
2011-09-06,DFW,ATL,32.741864
2011-09-06,DFW,BOS,25.581128
2011-09-06,DFW,DEN,30.13012
2011-09-06,DFW,LAS,21.085208
2011-09-06,DFW,LAX,28.26376
2011-09-06,DFW,LGA,29.527624
2011-09-06,DFW,ORD,33.02984
2011-09-06,DFW,PHL,28.01432
2011-09-06,DFW,SFO,26.477288
2011-09-06,DTW,ATL,26.057616
2011-09-06,DTW,LGA,27.114392
2011-09-06,DTW,ORD,27.54656
2011-09-06,EWR,ATL,27.960024
2011-09-06,EWR,BOS,29.798432
2011-09-06,EWR,LAX,26.991712
2011-09-06,EWR,MCO,24.860136
2011-09-06,EWR,ORD,29.911632
2011-09-06,EWR,SFO,26.545264
2011-09-06,IAH,LAX,25.263864
2011-09-06,IAH,ORD,28.798944
2011-09-06,JFK,LAS,26.717256
2011-09-06,JFK,LAX,35.148616
2011-09-06,JFK,MCO,21.000888
2011-09-06,JFK,MIA,24.514752
2011-09-06,JFK,SFO,31.743592
2011-09-06,LAS,DEN,23.768552
2011-09-06,LAS,DFW,23.931768
2011-09-06,LAS,JFK,25.388552
2011-09-06,LAS,LAX,29.175888
2011-09-06,LAS,ORD,27.569808
2011-09-06,LAS,SFO,28.212392
2011-09-06,LAX,ATL,28.629096
2011-09-06,LAX,BOS,28.061456
2011-09-06,LAX,DEN,25.887384
2011-09-06,LAX,DFW,29.061776
